long,lat,trimestre,titulo,razon_social,tipo_produccion,fecha,calle,altura,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.450608,-34.583259,3 TRIMESTRE 2019,Cadaver Exquisito,Nicolás Münzel Camaño,Largometraje con I.N.C.A.A.,2019-07-01,CHARLONE,428,Chacarita,Comuna 15,1427,C1427BXJ
-58.389331,-34.594660,3 TRIMESTRE 2019,UNA HABITACION SIMPLE,Fundación del Cine,Estudiantes,2019-07-01,ARENALES,1501,Recoleta,Comuna 2,1061,C1061AAQ
-58.428856,-34.645080,3 TRIMESTRE 2019,Entre Hombres,Pol-ka Producciones S.A.,Programa Televisivo,2019-07-01,RIESTRA AV.,1400,Nueva Pompeya,Comuna 4,1437,C1437HIP
-58.526679,-34.625486,3 TRIMESTRE 2019,Entre Hombres,Pol-ka Producciones S.A.,Programa Televisivo,2019-07-01,NOGOYA,6100,Versalles,Comuna 10,1408,C1408BBP
-58.411583,-34.557400,3 TRIMESTRE 2019,UNA HABITACION SIMPLE,Fundación del Cine,Estudiantes,2019-07-01,"OBLIGADO RAFAEL, AV.COSTANERA",4250,Palermo,Comuna 14,,
-58.449157,-34.564330,3 TRIMESTRE 2019,Danette,Huinca Cine S.A.,Cine Publicitario,2019-07-02,O'HIGGINS,1630,Belgrano,Comuna 13,1426,C1426BHH
-58.465596,-34.579555,3 TRIMESTRE 2019,Danette,Huinca Cine S.A.,Cine Publicitario,2019-07-02,GIRIBONE,1664,Villa Ortuzar,Comuna 15,1427,C1427CAZ
-58.450228,-34.563957,3 TRIMESTRE 2019,Danette,Huinca Cine S.A.,Cine Publicitario,2019-07-02,"HERNANDEZ, JOSE",2050,Belgrano,Comuna 13,1426,C1426EOJ
-58.395613,-34.583622,3 TRIMESTRE 2019,HACE MUCHO QUE NO DUERMO,Fundación del Cine,Estudiantes,2019-07-02,DEL LIBERTADOR AV.,1550,Recoleta,Comuna 2,1425,C1425AAO
-58.467884,-34.542111,3 TRIMESTRE 2019,Danette,Huinca Cine S.A.,Cine Publicitario,2019-07-02,O'HIGGINS,4258,Nu\u00f1ez,Comuna 13,1429,C1429BCD
-58.526679,-34.625486,3 TRIMESTRE 2019,Entre Hombres,Pol-ka Producciones S.A.,Programa Televisivo,2019-07-03,NOGOYA,6100,Versalles,Comuna 10,1408,C1408BBP
-58.526679,-34.625486,3 TRIMESTRE 2019,Entre Hombres,Pol-ka Producciones S.A.,Programa Televisivo,2019-07-05,NOGOYA,6100,Versalles,Comuna 10,1408,C1408BBP
-58.461693,-34.557090,3 TRIMESTRE 2019,FUZE TEA,Landia S.R.L.,Cine Publicitario,2019-07-05,"RIVERA, PEDRO I., DR.",2445,Belgrano,Comuna 13,1428,C1428BQA
-58.428465,-34.551293,3 TRIMESTRE 2019,SUBJETIVA,Proteína Pura S.A.,Cine Publicitario,2019-07-05,"OBLIGADO RAFAEL, AV.COSTANERA",6100,Belgrano,Comuna 14,1428,C1426ABX
-58.360121,-34.616533,3 TRIMESTRE 2019,FUZE TEA,Landia S.R.L.,Cine Publicitario,2019-07-05,LANTERI JULIETA,1640,Puerto Madero,Comuna 1,1107,
-58.439023,-34.580435,3 TRIMESTRE 2019,FUZE TEA,Landia S.R.L.,Cine Publicitario,2019-07-05,EL SALVADOR,5960,Palermo,Comuna 14,1414,C1414BQL
-58.369388,-34.604290,3 TRIMESTRE 2019,SUBJETIVA,Proteína Pura S.A.,Cine Publicitario,2019-07-05,SARMIENTO,150,San Nicolas,Comuna 1,1041,C1041AAD
-58.391478,-34.583771,3 TRIMESTRE 2019,FUZE TEA,Landia S.R.L.,Cine Publicitario,2019-07-05,"FIGUEROA ALCORTA, PRES. AV.",2180,Recoleta,Comuna 2,1425,C1425CKN
-58.366536,-34.608146,3 TRIMESTRE 2019,SUBJETIVA,Proteína Pura S.A.,Cine Publicitario,2019-07-05,"MOREAU DE JUSTO, ALICIA AV.",850,Puerto Madero,Comuna 1,1107,C1107AAR
-58.410709,-34.558049,3 TRIMESTRE 2019,SUBJETIVA,Proteína Pura S.A.,Cine Publicitario,2019-07-05,"OBLIGADO RAFAEL, AV.COSTANERA",3950,Palermo,Comuna 14,1428,
-58.456435,-34.560644,3 TRIMESTRE 2019,FUZE TEA,Landia S.R.L.,Cine Publicitario,2019-07-05,VUELTA DE OBLIGADO,2190,Belgrano,Comuna 13,1428,C1428ADH
-58.388642,-34.604241,3 TRIMESTRE 2019,SUBJETIVA,Proteína Pura S.A.,Cine Publicitario,2019-07-05,CORRIENTES AV.,1540,San Nicolas,Comuna 1,1042,C1042AAO
-58.378630,-34.639622,3 TRIMESTRE 2019,L.O.T.B.A,LADOBLEA S.A.,Cine Publicitario,2019-07-06,"SALMUN FEIJOO, JOSE AARON",600,Barracas,Comuna 4,1274,C1274AGF
-58.437235,-34.579937,3 TRIMESTRE 2019,FUZE TEA,Landia S.R.L.,Cine Publicitario,2019-07-06,"RAVIGNANI, EMILIO, DR.",1945,Palermo,Comuna 14,1414,C1414CPS
-58.401973,-34.623668,3 TRIMESTRE 2019,FUZE TEA,Landia S.R.L.,Cine Publicitario,2019-07-06,SAN JUAN AV.,2685,San Cristobal,Comuna 3,1232,C1232AAI
-58.370759,-34.638106,3 TRIMESTRE 2019,L.O.T.B.A,LADOBLEA S.A.,Cine Publicitario,2019-07-06,SUAREZ,1301,Barracas,Comuna 4,1288,C1288AEC
-58.376565,-34.594411,3 TRIMESTRE 2019,L.O.T.B.A,LADOBLEA S.A.,Cine Publicitario,2019-07-06,CRUCERO GRAL. BELGRANO,1217,Retiro,Comuna 1,1006,C1006ABA
-58.367872,-34.618251,3 TRIMESTRE 2019,FUZE TEA,Landia S.R.L.,Cine Publicitario,2019-07-06,ESTADOS UNIDOS,145,San Telmo,Comuna 1,1101,C1101AAC
-58.371406,-34.597320,3 TRIMESTRE 2019,L.O.T.B.A,LADOBLEA S.A.,Cine Publicitario,2019-07-06,"ALEM, LEANDRO N. AV.",895,Retiro,Comuna 1,1001,C1001AAD
-58.368037,-34.605274,3 TRIMESTRE 2019,SIMULADOR GCBA,Javier Santiago Guillermo Elliot,Cine Publicitario,2019-07-06,"MADERO, EDUARDO AV.",200,San Nicolas,Comuna 1,1106,C1106ACO
-58.454323,-34.612460,3 TRIMESTRE 2019,Entre Hombres,Pol-ka Producciones S.A.,Programa Televisivo,2019-07-07,FRAGATA PRES. SARMIENTO,1023,Caballito,Comuna 6,1405,C1405APM
-58.449748,-34.558941,3 TRIMESTRE 2019,SIMULADOR GCBA,Javier Santiago Guillermo Elliot,Cine Publicitario,2019-07-07,VERTIZ VIRREY AV.,2030,Belgrano,Comuna 13,1428,C1428AMF
,,3 TRIMESTRE 2019,SIMULADOR GCBA,Javier Santiago Guillermo Elliot,Cine Publicitario,2019-07-07,"JUSTO, JUAN B. AV.",1900,Palermo,Comuna 14,1414,C1414CWU
-58.456273,-34.552516,3 TRIMESTRE 2019,Entre Hombres,Pol-ka Producciones S.A.,Programa Televisivo,2019-07-07,11 DE SEPTIEMBRE DE 1888,2781,Belgrano,Comuna 13,1428,C1428AJI
-58.473406,-34.583776,3 TRIMESTRE 2019,Entre Hombres,Pol-ka Producciones S.A.,Programa Televisivo,2019-07-07,LLERENA,2437,Parque Chas,Comuna 15,1427,C1427DEA
-58.371873,-34.603023,3 TRIMESTRE 2019,FUZE TEA,Landia S.R.L.,Cine Publicitario,2019-07-07,CORRIENTES AV.,345,San Nicolas,Comuna 1,1043,C1043AAD
-58.377610,-34.605838,3 TRIMESTRE 2019,FUZE TEA,Landia S.R.L.,Cine Publicitario,2019-07-07,"SAENZ PEÑA, ROQUE, PRES. DIAGONAL NORTE AV.",785,San Nicolas,Comuna 1,1035,C1035AAC
-58.373193,-34.592965,3 TRIMESTRE 2019,FUZE TEA,Landia S.R.L.,Cine Publicitario,2019-07-08,SAN MARTIN,1275,Retiro,Comuna 1,1104,C1104AKC
-58.369673,-34.604812,3 TRIMESTRE 2019,SIMULADOR GCBA,Javier Santiago Guillermo Elliot,Cine Publicitario,2019-07-08,"ALEM, LEANDRO N. AV.",233,San Nicolas,Comuna 1,1003,C1003AAC
-58.370059,-34.588123,3 TRIMESTRE 2019,SIMULADOR GCBA,Javier Santiago Guillermo Elliot,Cine Publicitario,2019-07-09,COMBATE DE COSTA BRAVA,100,Retiro,Comuna 1,1104,C1104AQB
-58.449891,-34.560294,3 TRIMESTRE 2019,LA VIDA REAL II,Fundación del Cine,Estudiantes,2019-07-09,11 DE SEPTIEMBRE DE 1888,1920,Belgrano,Comuna 13,1428,C1428AID
-58.453941,-34.603353,3 TRIMESTRE 2019,WELLINGTON,TKY S.R.L.,Cine Publicitario,2019-07-09,"REPETTO, NICOLAS, DR.",1760,Villa Crespo,Comuna 15,1416,C1416CLN
