long,lat,periodo,titulo_proyecto,productora_razon_social,tipo_produccion,fecha_rodaje,direccion,calle,altura,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.44256476,-34.56839053,2015,UNA NOCHE DE AMOR,MYS PRODUCCION SRL,LARGOMETRAJE CON I.N.C.A.A.,2015-05-10,11 DE SEPTIEMBRE DE 1888 1050,11 DE SEPTIEMBRE DE 1888,1050,PALERMO,COMUNA 14,1426,C1426BKH
-58.44554227,-34.5652367,2013,DIA DE LA MADRE,48M2 SA,CINE PUBLICITARIO,2013-09-28,11 DE SEPTIEMBRE DE 1888 1401,11 DE SEPTIEMBRE DE 1888,1401,BELGRANO,COMUNA 13,1426,C1426BKO
-58.4460525,-34.56480077,2014,GUAPAS,POL-KA PRODUCCIONES SA,PROGRAMA TELEVISIVO,2014-01-30,11 DE SEPTIEMBRE DE 1888 1460,11 DE SEPTIEMBRE DE 1888,1460,BELGRANO,COMUNA 13,1426,C1426BKP
-58.4460525,-34.56480077,2014,GUAPAS,POL-KA PRODUCCIONES SA,PROGRAMA TELEVISIVO,2014-07-02,11 DE SEPTIEMBRE DE 1888 1460,11 DE SEPTIEMBRE DE 1888,1460,BELGRANO,COMUNA 13,1426,C1426BKP
-58.4460525,-34.56480077,2014,GUAPAS,POL-KA PRODUCCIONES SA,PROGRAMA TELEVISIVO,2014-02-13,11 DE SEPTIEMBRE DE 1888 1460,11 DE SEPTIEMBRE DE 1888,1460,BELGRANO,COMUNA 13,1426,C1426BKP
-58.4460525,-34.56480077,2011,MUEVE TU CUERPO,PELICULAS CORTITAS SA,CINE PUBLICITARIO,2011-05-20,11 DE SEPTIEMBRE DE 1888 1460,11 DE SEPTIEMBRE DE 1888,1460,BELGRANO,COMUNA 13,1426,C1426BKP
-58.44822029,-34.56226473,2013,EL PATRON,MAGOYA FILMS SA,LARGOMETRAJE CON I.N.C.A.A.,2013-08-15,11 DE SEPTIEMBRE DE 1888 1740,11 DE SEPTIEMBRE DE 1888,1740,BELGRANO,COMUNA 13,1426,C1426BKV
-58.44822029,-34.56226473,2013,EL PATRON,MAGOYA FILMS SA,LARGOMETRAJE CON I.N.C.A.A.,2013-08-24,11 DE SEPTIEMBRE DE 1888 1740,11 DE SEPTIEMBRE DE 1888,1740,BELGRANO,COMUNA 13,1426,C1426BKV
-58.44862401,-34.561792700000005,2015,INFELICES,PATAGONIK FILM GROUP SA,LARGOMETRAJE NACIONAL,2015-06-11,11 DE SEPTIEMBRE DE 1888 1790,11 DE SEPTIEMBRE DE 1888,1790,BELGRANO,COMUNA 13,1426,C1426BKV
-58.44874106,-34.56149649,2011,ALL IN,BDCINE SRL,LARGOMETRAJE CON I.N.C.A.A.,2011-10-06,11 DE SEPTIEMBRE DE 1888 1801,11 DE SEPTIEMBRE DE 1888,1801,BELGRANO,COMUNA 13,1428,C1428AIA
-58.44874106,-34.56149649,2014,LADO A LADO B,CASARES NICOLAS OTERO SEBASTIAN SH,PROGRAMA TELEVISIVO,2014-11-25,11 DE SEPTIEMBRE DE 1888 1801,11 DE SEPTIEMBRE DE 1888,1801,BELGRANO,COMUNA 13,1428,C1428AIA
-58.44942378,-34.56070367,2011,HALF WAY,URSULA CINE SA,CINE PUBLICITARIO,2011-01-13,11 DE SEPTIEMBRE DE 1888 1883,11 DE SEPTIEMBRE DE 1888,1883,BELGRANO,COMUNA 13,1428,C1428AIA
-58.44942378,-34.56070367,2014,LOS YUMAJOS,FUNDACION DEL CINE,ESTUDIANTES,2014-01-05,11 DE SEPTIEMBRE DE 1888 1883,11 DE SEPTIEMBRE DE 1888,1883,BELGRANO,COMUNA 13,1428,C1428AIA
-58.44949835,-34.56074709,2012,EJERCICIO 1ER ANIO MANIANA,ESCINE SA,ESTUDIANTES,2012-08-05,11 DE SEPTIEMBRE DE 1888 1900,11 DE SEPTIEMBRE DE 1888,1900,BELGRANO,COMUNA 13,1428,C1428AIB
-58.44949835,-34.56074709,2011,MTV BUSK,MTV NETWORKS ARGENTINA SRL,VIDEO CLIP,2011-02-08,11 DE SEPTIEMBRE DE 1888 1900,11 DE SEPTIEMBRE DE 1888,1900,BELGRANO,COMUNA 13,1428,C1428AIB
-58.44985798,-34.56023172,2012,CLOROX,I-REAL SRL,CINE PUBLICITARIO,2012-06-01,11 DE SEPTIEMBRE DE 1888 1901,11 DE SEPTIEMBRE DE 1888,1901,BELGRANO,COMUNA 13,1428,C1428AIC
-58.44985798,-34.56023172,2011,MCDONALDS,ONYX FILMS SA,CINE PUBLICITARIO,2011-08-21,11 DE SEPTIEMBRE DE 1888 1901,11 DE SEPTIEMBRE DE 1888,1901,BELGRANO,COMUNA 13,1428,C1428AIC
-58.44995476,-34.56011931,2012,GOOD SKIN DAY,LABHOUSE SA,CINE PUBLICITARIO,2012-08-01,11 DE SEPTIEMBRE DE 1888 1925,11 DE SEPTIEMBRE DE 1888,1925,BELGRANO,COMUNA 13,1428,C1428AIC
